Timestamp,How often do you use Mastodon?,What describes your WordPress field of work best?,How important would you describe your role in the WordPress Community?,How important is Mastodon to your WordPress-related social media activity?,How do you experience the quality of communication with the WordPress community on Mastodon compared to other social media?,Are you using a WordPress-oriented Mastodon instance?,Do you think Mastodon will have a significant influence on the WordPress community in the future?,"From the following options, what would you like to see more on Mastodon?"
04/03/2023 15:47:20,Frequently use,Influencer or generally writing about WordPress,Not Important,Not Important,Somewhat worse,"No, but considered",Somewhat influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, Community-related discussions about the future and further development of the WordPress ecosystem, WordPress tips, tricks, help and support regarding development and usage"
04/03/2023 23:28:55,Frequently use,"Community work, Development",Not Important,Moderately Important,About the same,Yes,Very influential,"Community-related discussions about the future and further development of the WordPress ecosystem, WordPress tips, tricks, help and support regarding development and usage"
05/03/2023 08:03:15,Frequently use,Development,Moderately Important,Moderately Important,About the same,Yes,Somewhat influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, Community-related discussions about the future and further development of the WordPress ecosystem, WordPress organisations/companies with official accounts promoting and supporting their products and events, WordPress tips, tricks, help and support regarding development and usage"
05/03/2023 08:15:04,Frequently use,"Development, Hosting, Using WordPress as a tool",Not Important,Not Important,Somewhat worse,"No, and not considered",Slightly influential,"Community-related discussions about the future and further development of the WordPress ecosystem, WordPress tips, tricks, help and support regarding development and usage"
05/03/2023 08:30:10,Frequently use,"Community work, Influencer or generally writing about WordPress, Using WordPress as a tool",Moderately Important,Very Important,Somewhat worse,"No, but considered",Slightly influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, Community-related discussions about the future and further development of the WordPress ecosystem, WordPress organisations/companies with official accounts promoting and supporting their products and events, Personal influencer accounts of important community members, WordPress tips, tricks, help and support regarding development and usage"
05/03/2023 08:54:32,Occasionally/Sometimes,Using WordPress as a tool,Not Important,Not Important,About the same,"No, and not considered",Slightly influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, WordPress tips, tricks, help and support regarding development and usage"
05/03/2023 09:18:34,Frequently use,"Community work, Influencer or generally writing about WordPress, Using WordPress as a tool",Very Important,Moderately Important,Somewhat better,"No, and not considered",Very influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, Community-related discussions about the future and further development of the WordPress ecosystem, WordPress organisations/companies with official accounts promoting and supporting their products and events, Personal influencer accounts of important community members, WordPress tips, tricks, help and support regarding development and usage, Topics specific to implementing indieweb tools"
05/03/2023 09:24:18,Occasionally/Sometimes,"Development, Hosting, Support",Not Important,Not Important,Somewhat better,"No, and not considered",Somewhat influential,"Community-related discussions about the future and further development of the WordPress ecosystem, WordPress tips, tricks, help and support regarding development and usage"
05/03/2023 09:32:18,Never use,Development,Not Important,Not Important,,,,"WordPress tips, tricks, help and support regarding development and usage"
05/03/2023 10:11:38,Frequently use,"Development, Hosting",Not Important,Not Important,About the same,"No, and not considered",Somewhat influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, Community-related discussions about the future and further development of the WordPress ecosystem, WordPress tips, tricks, help and support regarding development and usage"
05/03/2023 10:52:19,Frequently use,Development,Moderately Important,Moderately Important,About the same,"No, and not considered",Very influential,"Community-related discussions about the future and further development of the WordPress ecosystem, Personal influencer accounts of important community members, WordPress tips, tricks, help and support regarding development and usage"
05/03/2023 11:18:16,Frequently use,"Community work, Development, Hosting, Support, Using WordPress as a tool",Not Important,Very Important,Somewhat worse,"No, and not considered",Very influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, Community-related discussions about the future and further development of the WordPress ecosystem, WordPress organisations/companies with official accounts promoting and supporting their products and events, Personal influencer accounts of important community members, WordPress tips, tricks, help and support regarding development and usage"
05/03/2023 13:13:22,Frequently use,Using WordPress as a tool,Very Important,Very Important,Somewhat better,Yes,Somewhat influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes"
05/03/2023 13:27:22,Frequently use,"Development, Hosting",Not Important,Not Important,Somewhat worse,"No, and not considered",Somewhat influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes"
05/03/2023 13:43:03,Frequently use,"Development, Hosting, Support",Not Important,Moderately Important,Somewhat better,"No, and not considered",Somewhat influential,"Links to the latest WordPress content like blog articles, announcements, and releases regarding WordPress core, plugins, and themes, Community-related discussions about the future and further development of the WordPress ecosystem, Personal influencer accounts of important community members, WordPress tips, tricks, help and support regarding development and usage"
05/03/2023 16:10:34,Occasionally/Sometimes,"Community work, Development, Hosting",Moderately Important,Moderately Important,Much better,"No, but considered",Extremely influential,Community-related discussions about the future and further development of the WordPress ecosystem
